Random Forest Accuracy
Best Score = 0.6680
Best Hyper-parameters = {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}
0.6425 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 3}
0.6013 (+/-0.071) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 4}
0.6573 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 5}
0.6511 (+/-0.061) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 6}
0.6513 (+/-0.028) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 7}
0.6540 (+/-0.064) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 8}
0.6550 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 9}
0.6680 (+/-0.028) for {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}
0.6025 (+/-0.069) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 1}
0.6277 (+/-0.066) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 2}
0.6236 (+/-0.056) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 3}
0.6417 (+/-0.068) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 4}
0.6468 (+/-0.071) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 5}
0.6446 (+/-0.054) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 6}
0.6402 (+/-0.064) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 7}
0.6562 (+/-0.061) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 8}
0.6601 (+/-0.068) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 9}
0.6641 (+/-0.052) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 10}
0.6470 (+/-0.048) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 1}
0.6193 (+/-0.072) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 2}
0.6466 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 3}
0.6339 (+/-0.078) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 4}
0.6476 (+/-0.066) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 5}
0.6651 (+/-0.063) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 6}
0.6642 (+/-0.067) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 7}
0.6493 (+/-0.070) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 8}
0.6560 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 9}
0.6630 (+/-0.064) for {'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 10}
0.6082 (+/-0.036) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 1}
0.6187 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 2}
0.6288 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 3}
0.6392 (+/-0.085) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 4}
0.6448 (+/-0.064) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 5}
0.6388 (+/-0.079) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 6}
0.6579 (+/-0.078) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 7}
0.6493 (+/-0.070) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 8}
0.6620 (+/-0.060) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 9}
0.6396 (+/-0.108) for {'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 10}
0.6312 (+/-0.048) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 1}
0.6337 (+/-0.052) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 2}
0.6312 (+/-0.086) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 3}
0.6458 (+/-0.067) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 4}
0.6372 (+/-0.071) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 5}
0.6359 (+/-0.079) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 6}
0.6431 (+/-0.082) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 7}
0.6649 (+/-0.076) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 8}
0.6579 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 9}
0.6429 (+/-0.079) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 10}
0.6349 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 1}
0.6489 (+/-0.016) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 2}
0.6353 (+/-0.053) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 3}
0.6402 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 4}
0.6534 (+/-0.073) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 5}
0.6372 (+/-0.109) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 6}
0.6482 (+/-0.074) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 7}
0.6441 (+/-0.083) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 8}
0.6587 (+/-0.066) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 9}
0.6565 (+/-0.068) for {'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}

Training Scores:
0.5570 (+/-0.039) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 1}
0.5737 (+/-0.048) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 2}
0.5819 (+/-0.052) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 3}
0.6151 (+/-0.057) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 4}
0.6167 (+/-0.048) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 5}
0.6170 (+/-0.040) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 6}
0.6127 (+/-0.050) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 7}
0.6253 (+/-0.042) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 8}
0.6037 (+/-0.036) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 9}
0.6316 (+/-0.038) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}
0.5729 (+/-0.046) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 1}
0.5768 (+/-0.020) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 2}
0.6240 (+/-0.049) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 3}
0.6234 (+/-0.039) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 4}
0.6654 (+/-0.033) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 5}
0.6672 (+/-0.016) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 6}
0.6484 (+/-0.032) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 7}
0.6546 (+/-0.025) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 8}
0.6568 (+/-0.030) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 9}
0.6741 (+/-0.017) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 10}
0.6221 (+/-0.046) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 1}
0.6767 (+/-0.016) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 2}
0.6590 (+/-0.042) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 3}
0.6730 (+/-0.022) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 4}
0.6482 (+/-0.034) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 5}
0.6792 (+/-0.022) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 6}
0.6785 (+/-0.027) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 7}
0.6732 (+/-0.029) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 8}
0.6915 (+/-0.011) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 9}
0.6918 (+/-0.013) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}
0.6167 (+/-0.046) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 1}
0.6319 (+/-0.039) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 2}
0.6847 (+/-0.012) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 3}
0.6861 (+/-0.029) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 4}
0.6949 (+/-0.014) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 5}
0.6865 (+/-0.018) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 6}
0.6977 (+/-0.009) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 7}
0.6959 (+/-0.025) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 8}
0.7030 (+/-0.013) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 9}
0.7046 (+/-0.010) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 10}
0.6403 (+/-0.034) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 1}
0.6618 (+/-0.037) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 2}
0.6930 (+/-0.015) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 3}
0.6967 (+/-0.014) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 4}
0.6970 (+/-0.028) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 5}
0.7143 (+/-0.007) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 6}
0.7129 (+/-0.005) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 7}
0.7128 (+/-0.011) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 8}
0.7193 (+/-0.009) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 9}
0.7222 (+/-0.007) for {'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}
0.6301 (+/-0.040) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 1}
0.6899 (+/-0.020) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 2}
0.7020 (+/-0.018) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 3}
0.7098 (+/-0.013) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 4}
0.7192 (+/-0.010) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 5}
0.7244 (+/-0.011) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 6}
0.7285 (+/-0.007) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 7}
0.7306 (+/-0.007) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 8}
0.7305 (+/-0.008) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 9}
0.7321 (+/-0.008) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 10}
